start_date,start_station_code,end_date,end_station_code,duration_sec,is_member,yearid
2016-07-22 21:54:00,36,2016-07-22 21:58:00,66,240.0,0,2016
2016-09-04 21:24:00,15,2016-09-04 22:19:00,66,3300.0,0,2016
2016-09-24 20:29:00,131,2016-09-24 20:41:00,59,720.0,0,2016
2016-11-14 22:19:00,49,2016-11-14 22:26:00,26,420.0,0,2016
2016-10-11 13:25:00,150,2016-10-11 13:45:00,26,1200.0,0,2016
2016-08-03 14:24:00,24,2016-08-03 14:30:00,66,360.0,0,2016
2016-11-17 16:33:00,132,2016-11-17 17:01:00,66,1680.0,0,2016
2016-07-06 23:24:00,15,2016-07-06 23:26:00,15,120.0,0,2016
2016-01-10 19:34:00,66,2016-01-10 19:54:00,15,1200.0,0,2016
2016-10-29 06:03:00,49,2016-10-29 06:11:00,15,480.0,0,2016
2016-10-14 14:52:00,55,2016-10-14 15:05:00,15,780.0,0,2016
2016-02-10 23:38:00,49,2016-02-10 23:45:00,15,420.0,0,2016
2016-07-22 19:34:00,49,2016-07-22 19:57:00,15,1380.0,0,2016
2016-08-09 18:51:00,26,2016-08-09 18:59:00,15,480.0,0,2016
2016-07-22 21:48:00,114,2016-07-22 22:08:00,66,1200.0,0,2016
2016-07-11 21:55:00,179,2016-07-11 22:18:00,66,1380.0,0,2016
2016-06-11 20:21:00,49,2016-06-11 20:26:00,15,300.0,0,2016
2016-08-03 18:42:00,42,2016-08-03 18:50:00,15,480.0,0,2016
2016-11-17 17:08:00,42,2016-11-17 17:16:00,15,480.0,0,2016
2016-11-17 16:33:00,132,2016-11-17 17:01:00,66,1680.0,0,2016
2016-12-11 22:17:00,34,2016-12-11 22:23:00,15,360.0,0,2016
2016-11-14 15:01:00,93,2016-11-14 15:51:00,66,3000.0,0,2016
2016-06-11 17:26:00,66,2016-06-11 17:41:00,15,900.0,0,2016
2016-10-16 17:58:00,34,2016-10-16 18:03:00,15,300.0,0,2016
2016-10-21 17:02:00,41,2016-10-21 17:08:00,15,360.0,0,2016
2016-09-04 16:22:00,93,2016-09-04 16:56:00,66,2040.0,0,2016
2016-11-13 00:57:00,150,2016-11-13 01:08:00,15,660.0,0,2016
2016-07-13 17:33:00,13,2016-07-13 17:40:00,15,420.0,0,2016
2016-10-13 21:24:00,72,2016-10-13 21:41:00,15,1020.0,0,2016
2016-09-04 23:19:00,134,2016-09-04 23:35:00,66,960.0,0,2016
2016-09-04 14:48:00,33,2016-09-04 15:09:00,15,1260.0,0,2016
2016-08-03 22:39:00,131,2016-08-03 23:00:00,15,1260.0,0,2016
2016-12-11 15:58:00,24,2016-12-11 16:08:00,132,600.0,0,2016
2016-11-17 12:26:00,48,2016-11-17 12:31:00,5,300.0,0,2016
2016-07-11 13:00:00,24,2016-07-11 13:06:00,5,360.0,0,2016
2016-07-11 13:55:00,33,2016-07-11 14:01:00,5,360.0,0,2016
2016-01-11 15:24:00,48,2016-01-11 15:31:00,5,420.0,0,2016
2016-09-10 21:35:00,75,2016-09-10 22:05:00,5,1800.0,0,2016
2016-11-17 16:36:00,48,2016-11-17 16:43:00,5,420.0,0,2016
2016-10-11 23:50:00,26,2016-10-11 23:58:00,132,480.0,0,2016
2016-06-11 15:39:00,11,2016-06-11 15:52:00,132,780.0,0,2016
2016-02-10 10:21:00,75,2016-02-10 10:26:00,5,300.0,0,2016
2016-11-13 00:43:00,55,2016-11-13 00:58:00,132,900.0,0,2016
2016-10-14 20:18:00,33,2016-10-14 20:25:00,5,420.0,0,2016
2016-12-11 18:21:00,41,2016-12-11 19:16:00,132,3300.0,0,2016
2016-12-19 21:56:00,49,2016-12-19 22:08:00,5,720.0,0,2016
2016-09-24 12:41:00,48,2016-09-24 12:47:00,5,360.0,0,2016
2016-12-11 11:45:00,75,2016-12-11 11:51:00,5,360.0,0,2016
2016-11-17 20:46:00,33,2016-11-17 20:54:00,5,480.0,0,2016
2016-10-29 20:58:00,36,2016-10-29 21:03:00,5,300.0,0,2016
2016-10-13 21:01:00,33,2016-10-13 21:12:00,5,660.0,0,2016
2016-01-11 15:41:00,159,2016-01-11 15:55:00,132,840.0,0,2016
2016-07-13 22:06:00,24,2016-07-13 22:13:00,5,420.0,0,2016
2016-10-29 17:14:00,75,2016-10-29 17:19:00,5,300.0,0,2016
2016-08-09 12:27:00,82,2016-08-09 12:42:00,5,900.0,0,2016
2016-01-11 12:19:00,150,2016-01-11 12:36:00,132,1020.0,0,2016
2016-12-19 14:14:00,42,2016-12-19 14:25:00,132,660.0,0,2016
2016-07-22 19:49:00,33,2016-07-22 19:57:00,5,480.0,0,2016
2016-12-11 16:52:00,48,2016-12-11 16:57:00,132,300.0,0,2016
2016-11-22 22:26:00,33,2016-11-22 22:34:00,5,480.0,0,2016
2016-09-04 14:31:00,48,2016-09-04 14:36:00,5,300.0,0,2016
2016-10-14 13:49:00,55,2016-10-14 14:04:00,5,900.0,0,2016
2016-11-17 17:27:00,5,2016-11-17 17:37:00,132,600.0,0,2016
2016-09-24 13:29:00,26,2016-09-24 13:41:00,5,720.0,0,2016
