code,name,latitude,longitude,yearid
419,Westpark & Jones Branch Dr,,,2016
153,Lee Hwy & N Cleveland St,,,2016
166,Washington Blvd & 7th St N,,,2016
56,8th & O St NW,,,2017
271,Montgomery & East Ln,,,2016
469,Wilson Blvd & N Troy St,,,2017
72,Lamont & Mt Pleasant NW,,,2015
13,7th & F St NW / National Portrait Gallery,,,2017
365,Montgomery & East Ln,,,2017
434,North Shore Dr & Village Rd,,,2017
219,John McCormack Dr & Michigan Ave NE,,,2017
314,S Troy St & 26th St S,,,2015
304,Ballenger Ave & Dulaney St,,,2017
18,4th & M St SW,,,2015
385,Branch & Pennsylvania Ave SE,,,2017
154,Madison & N Henry St,,,2016
49,Columbia Rd & Belmont St NW,,,2016
154,Clarendon Metro / Wilson Blvd & N Highland St,,,2017
317,1st & Washington Hospital Center NW,,,2016
266,Montgomery Ave & Waverly St ,,,2015
161,1st & H St NW,,,2015
67,Convention Center / 7th & M St NW,,,2015
69,12th & U St NW,,,2017
229,47th & Elm St,,,2015
100,1st & K St SE,,,2016
31,14th & Irving St NW,,,2016
209,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,,,2015
69,Georgia & New Hampshire Ave NW,,,2015
282,Pleasant St & MLK Ave SE,,,2015
396,Medical Center Dr & Key West Ave,,,2016
310,Monroe St & Monroe Pl,,,2015
171,34th & Water St NW,,,2015
127,1st & N St  SE,,,2017
257,14th St & Colorado Ave NW,,,2017
177,10th & Monroe St NE,,,2015
42,Lynn & 19th St North,,,2016
387,Westpark & Park Run Dr,,,2017
57,Union Market/6th St & Neal Pl NE,,,2017
167,3000 Connecticut Ave NW / National Zoo,,,2015
327,Fallsgrove Dr & W Montgomery Ave,,,2016
217,8th & D St NW,,,2017
415,King Farm Blvd & Piccard Dr,,,2017
355,Rolfe St & 9th St S,,,2016
98,Tenleytown / Wisconsin Ave & Albemarle St NW,,,2015
71,11th & M St NW,,,2016
78,11th & Kenyon St NW,,,2015
17,2nd St & Massachusetts Ave NE,,,2017
6,10th & G St NW,,,2017
91,10th & Florida Ave NW,,,2016
275,13th St & Eastern Ave,,,2015
203,31st & Woodrow St S,,,2015
353,Yuma St & Tenley Circle NW,,,2016
240,Key Blvd & N Quinn St,,,2015
103,5th St & Massachusetts Ave NW,,,2015
364,S Stafford & 34th St S,,,2017
238,Oklahoma Ave & D St NE,,,2016
244,Duke St & John Carlyle St,,,2017
160,Lee Hwy & N Monroe St,,,2017
253,Eads & 22nd St S,,,2016
368,Fenton St & Ellsworth Dr ,,,2017
83,California St & Florida Ave NW,,,2015
22,Massachusetts Ave & Dupont Circle NW,,,2017
369,Good Hope & Naylor Rd SE,,,2017
133,4th St & Madison Dr NW,,,2017
262,Arlington Blvd & N Queen St,,,2016
467,11th & Girard St NW,,,2017
383,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,,,2017
270,14th & D St NW / Ronald Reagan Building,,,2016
184,8th & Eye St SE / Barracks Row,,,2017
306,6th & S Ball St,,,2016
155,Maryland Ave & E St NE,,,2016
352,N Quincy St & Glebe Rd,,,2016
19,Eastern Market / 7th & North Carolina Ave SE,,,2015
145,Mount Vernon Ave & E Del Ray Ave,,,2015
324,Medical Center Metro ,,,2017
192,12th St & Pennsylvania Ave SE,,,2017
476,Key West Ave & Diamondback Dr,,,2017
68,10th & K St NW,,,2015
416,New Dominion Pkwy & Fountain Dr,,,2017
402,Reston Station,,,2016
138,Rhode Island Ave & V St NE,,,2017
401,Commonwealth & E Monroe Ave,,,2016
126,Lincoln Memorial,,,2017
319,Radford & Osage St,,,2016
410,Sunset Hills Rd & Isaac Newton Square,,,2017
309,King St & Patrick St,,,2017
161,6th & K St NE,,,2017
119,14th & Upshur St NW,,,2016
18,5th & K St NW,,,2016
292,Madison & N Henry St,,,2017
141,Columbia Pike & S Walter Reed Dr,,,2015
320,Dennis & Amherst Ave,,,2015
223,Georgetown Harbor / 30th St NW,,,2016
237,18th & Eads St.,,,2017
120,34th St & Wisconsin Ave NW,,,2015
228,12th & Irving St NE,,,2015
333,Connecticut Ave & Chevy Chase Lake Dr,,,2016
172,Connecticut & Nebraska Ave NW,,,2015
9,New Hampshire Ave & T St NW,,,2017
328,Anacostia Ave & Benning Rd NE / River Terrace ,,,2016
196,Friendship Blvd & Willard Ave,,,2016
323,10th St & L'Enfant Plaza SW,,,2017
95,11th & M St NW,,,2015
372,1st & Washington Hospital Center NW,,,2017
291,McKinley St & Connecticut Ave NW,,,2017
36,15th & P St NW,,,2017
36,21st St & Pennsylvania Ave NW,,,2015
257,Silver Spring Metro/Colesville Rd & Wayne Ave,,,2015
28,14th & Harvard St NW,,,2016
196,Ward Circle / American University,,,2015
197,New Hampshire & Kirklynn Ave,,,2017
