date,prectot,qv2m,rh2m,ps,t2m_range,ts,t2mdew,t2mwet,t2m_max,t2m_min,t2m,ws50m_range,ws10m_range,ws50m_min,ws10m_min,ws50m_max,ws10m_max,ws50m,ws10m
2015-02-05,0.0,2.1,69.93,101.05,9.32,-2.99,-8.35,-8.09,0.23,-9.08,-3.11,6.59,6.64,5.7,2.64,12.28,9.28,9.63,6.67
2016-10-19,0.03,13.13,80.36,100.58,11.11,21.39,18.29,18.29,28.04,16.93,21.84,5.12,2.37,0.68,0.42,5.8,2.78,3.28,1.76
2016-03-20,1.0,4.06,84.96,100.64,6.19,3.85,0.95,0.96,6.5,0.31,3.25,2.75,2.47,2.51,1.56,5.26,4.03,3.9,2.7
2015-08-18,0.49,14.03,64.79,100.55,13.12,27.15,19.27,19.27,33.48,20.36,26.53,4.2,2.78,1.23,1.06,5.43,3.84,3.89,2.4
2015-11-29,4.97,6.06,88.77,101.34,6.34,8.53,6.49,6.5,12.05,5.71,8.46,1.35,1.37,3.83,2.3,5.18,3.66,4.63,3.03
2017-03-24,0.98,4.79,76.45,101.68,17.84,7.24,2.62,2.64,16.45,-1.39,7.26,3.32,2.89,5.19,3.42,8.51,6.32,7.2,4.34
2015-08-15,0.0,10.0,52.89,101.03,16.29,25.21,14.06,14.07,32.83,16.53,24.37,4.72,1.52,1.03,0.92,5.75,2.43,3.47,1.94
2015-11-14,0.0,3.65,62.6,101.32,9.47,6.14,-0.46,-0.41,11.51,2.04,6.16,4.32,3.57,4.63,2.51,8.95,6.08,7.31,4.19
2016-10-12,0.0,7.7,79.49,101.47,11.57,13.04,10.24,10.24,20.38,8.81,13.73,3.24,1.75,1.23,0.88,4.48,2.63,2.65,1.79
2015-07-24,0.19,10.21,54.37,100.48,12.86,23.95,14.35,14.35,30.05,17.18,24.16,2.23,1.13,2.42,1.43,4.64,2.57,2.95,1.97
2016-12-20,0.0,2.21,69.64,102.13,7.87,-2.1,-6.72,-6.61,2.52,-5.35,-2.18,4.45,1.92,0.58,0.56,5.02,2.48,3.05,1.72
2015-07-04,9.18,15.44,87.95,100.28,7.34,23.18,20.84,20.84,27.4,20.06,22.96,4.64,2.29,0.3,0.17,4.94,2.47,2.63,1.47
2015-07-08,10.54,17.01,82.34,100.54,7.81,25.78,22.46,22.46,29.99,22.18,25.71,2.73,0.79,3.12,2.19,5.85,2.98,4.39,2.59
2016-04-21,0.12,8.31,82.01,100.88,15.04,14.44,10.73,10.73,20.96,5.92,14.34,2.52,2.51,4.73,2.75,7.25,5.25,6.3,3.71
2015-06-07,0.03,11.27,75.47,100.95,10.73,20.68,15.98,15.98,25.62,14.89,20.46,4.3,2.83,3.12,1.68,7.42,4.51,5.1,3.36
2016-12-17,6.2,3.79,94.01,100.55,9.26,0.94,-0.76,-0.72,5.62,-3.64,0.86,3.39,2.2,4.89,3.08,8.28,5.28,5.99,3.74
2015-05-28,2.04,14.44,76.34,101.16,9.45,24.13,19.92,19.92,29.01,19.57,24.36,4.67,2.1,0.28,0.1,4.95,2.19,2.54,1.49
2017-04-07,0.31,3.74,62.21,99.42,5.98,6.57,-0.41,-0.37,8.52,2.53,6.33,3.32,3.84,8.51,4.76,11.83,8.6,10.35,6.92
2017-09-01,2.78,7.78,59.32,101.03,7.36,19.38,10.03,10.04,22.11,14.75,18.42,5.07,3.5,2.17,1.32,7.24,4.82,4.28,2.93
