date,prectot,qv2m,rh2m,ps,t2m_range,ts,t2mdew,t2mwet,t2m_max,t2m_min,t2m,ws50m_range,ws10m_range,ws50m_min,ws10m_min,ws50m_max,ws10m_max,ws50m,ws10m,yearid
2016-04-01,3.36,6.61,94.6,98.19,13.62,7.73,6.9,6.9,12.37,-1.25,8.34,8.62,5.38,5.53,3.09,14.15,8.47,9.54,6.11,2016
2017-07-01,12.72,14.09,95.93,99.43,4.43,19.89,19.24,19.24,22.11,17.68,19.92,3.57,2.51,3.14,1.95,6.71,4.46,4.55,2.81,2017
2015-09-17,0.84,11.8,77.8,100.28,11.86,20.62,16.59,16.59,27.18,15.31,20.6,2.64,1.76,4.11,2.14,6.76,3.9,5.39,3.01,2015
2015-05-14,0.12,4.81,62.73,101.17,15.47,11.03,3.26,3.28,17.19,1.72,10.17,4.72,2.75,2.05,1.61,6.77,4.36,5.01,3.06,2015
2016-10-29,7.87,4.7,98.08,99.6,4.65,2.98,2.76,2.76,5.39,0.74,3.13,4.12,2.57,2.54,1.73,6.66,4.3,4.67,2.88,2016
2015-09-26,0.31,4.9,62.24,101.76,13.72,10.81,3.67,3.69,17.54,3.82,10.65,4.51,1.91,1.34,0.99,5.85,2.9,3.02,1.93,2015
2015-06-18,3.54,10.68,77.45,99.76,12.43,19.28,14.75,14.75,24.84,12.41,18.99,5.58,3.61,0.66,0.6,6.25,4.21,4.43,2.69,2015
2017-10-03,0.05,7.01,71.13,101.52,15.17,14.28,8.8,8.8,22.37,7.2,14.02,6.37,2.46,1.31,1.07,7.68,3.53,4.73,2.57,2017
2016-06-04,0.01,9.63,69.25,100.06,10.92,19.65,13.4,13.4,23.81,12.88,19.18,5.17,2.46,0.31,0.17,5.48,2.63,2.57,1.56,2016
2015-11-27,9.92,5.17,97.05,100.68,10.84,3.84,4.05,4.06,9.89,-0.95,4.78,7.03,4.55,3.99,2.01,11.02,6.56,7.7,4.32,2015
2016-11-27,1.23,2.58,91.87,100.31,7.53,-4.26,-5.2,-5.19,0.03,-7.5,-4.1,2.47,1.47,3.94,2.43,6.41,3.9,5.06,3.21,2016
2015-04-06,0.74,2.39,85.15,101.0,13.09,-4.44,-6.62,-6.54,1.36,-11.74,-3.98,2.77,1.77,1.71,1.12,4.48,2.89,2.78,2.0,2015
2017-08-23,1.14,10.37,79.6,99.05,7.8,18.24,14.31,14.31,21.42,13.62,17.97,4.23,4.55,5.68,2.72,9.92,7.26,8.34,5.47,2017
2017-10-11,0.02,5.01,74.21,101.16,5.62,8.28,3.81,3.83,10.96,5.35,8.28,5.64,2.84,0.77,0.54,6.41,3.38,3.74,2.27,2017
2017-06-08,1.78,11.14,78.52,99.76,11.77,19.52,15.55,15.55,25.19,13.42,19.44,3.74,1.6,2.9,2.2,6.64,3.81,4.79,2.95,2017
2017-04-12,1.91,5.36,91.52,100.47,6.81,6.06,4.8,4.8,10.11,3.3,6.11,7.67,6.09,1.34,0.72,9.01,6.82,6.23,4.21,2017
