code,name,latitude,longitude,yearid
6124,Poupart / Ontario,45.531834,-73.553478,2016
6170,de Mentana / Laurier,45.530046,-73.58677,2016
6420,Trans Island / Queen-Mary,45.484489,-73.628834,2016
6255,Boyer / St-Zotique,45.53848,-73.60556,2016
6357,12e avenue / St-Zotique,45.556905,-73.58925,2017
6279,Louis-Hébert / Bélanger,45.55158518908433,-73.59916493296623,2017
6216,Parc Jeanne Mance (monument George-Étienne Cartier),45.51496,-73.58503,2016
6006,18e avenue / Rosemont,45.55789545752947,-73.5765291005373,2017
6729,St-André / Ste-Catherine,45.516426545782224,-73.5581123828888,2017
6270,Fabre / St-Zotique,45.543541,-73.600982,2016
6094,de Gaspé / Fairmount,45.525669,-73.593016,2017
6252,Mozart / St-Laurent,45.53318,-73.61544,2017
6711,Alexandra / Waverly,45.531938,-73.61784200000001,2017
6068,Mansfield / Sherbrooke,45.50297,-73.57505,2016
6731,28e avenue / Rosemont,45.564353,-73.571244,2017
6712,LaSalle / Crawford,45.43791380065228,-73.58274042606355,2017
6734,Lajeunesse / Villeray (place Tapéo),45.54211889,-73.62254709999999,2016
6181,Clark / Rachel,45.5173538,-73.58212888,2016
6140,Marquette / Rachel,45.5298015824607,-73.5702896118164,2017
6247,St-Dominique / St-Zotique,45.53228145673193,-73.61099146306516,2015
6051,de Gaspé / Marmier,45.529686,-73.60172800000001,2016
6210,Métro Sauvé (Sauvé / Berri),45.55069206841976,-73.65636706352235,2015
6126,Rouen / Fullum,45.53217,-73.55859,2017
6179,Duluth / St-Denis,45.52060423232697,-73.57598394155501,2016
6741,Notre-Dame / Chatham,45.48691857455085,-73.56942862272263,2016
6105,Plessis / René-Lévesque,45.519376,-73.55195135,2016
6202,Ste-Famille / Sherbrooke,45.510016,-73.570654,2015
6100,Mackay / de Maisonneuve,45.496590000000005,-73.57851,2017
6027,de Maisonneuve / Mansfield,45.502292100000005,-73.57325211,2016
6420,Trans Island / Queen-Mary,45.484489,-73.628834,2017
6251,de Gaspé / Dante,45.534377,-73.612278,2016
6108,Logan / Fullum,45.528448693514136,-73.55108499526979,2017
6397,Marché Maisonneuve,45.553193897440885,-73.53981435298921,2017
6128,Hogan / Ontario,45.53529548038031,-73.55116009712218,2015
6079,Hutchison/ Prince-Arthur,45.509864,-73.576105,2015
6159,Ann / William,45.49589439175492,-73.5600972175598,2016
7077,Fullum / Jean Langlois,45.526128037390365,-73.54600220918654,2017
6902,Beaudry / Ontario,45.52162979062109,-73.56234759092331,2017
6159,Ann / William,45.49589439175492,-73.5600972175598,2015
6722,Bossuet / Pierre-de-Coubertin,45.57373304521766,-73.5394462198019,2016
6088,Guy / Notre-Dame,45.489951,-73.567091,2015
6301,Parc Outremont (Bloomfield / Elmwood),45.518309446368,-73.6032861471176,2017
